id,주제,theme,한국어,English,Espanol,中文
14,시작과 첫걸음,Beginnings,서툰 시작이 완벽한 계획을 이긴다.,A clumsy start beats a perfect plan.,Un comienzo torpe vence a un plan perfecto.,笨拙的开始胜过完美的计划。
15,시작과 첫걸음,Beginnings,오늘은 남은 인생에서 가장 젊은 날이다.,Today is the youngest day of the rest of your life.,Hoy es el día más joven del resto de tu vida.,今天是你余生中最年轻的一天。
16,시작과 첫걸음,Beginnings,새로운 길은 처음 걷는 사람에 의해 만들어진다.,New roads are made by those who walk them first.,Los caminos nuevos los crean quienes los recorren primero.,新路，是由第一个走的人开辟的。
17,시작과 첫걸음,Beginnings,"두려움은 시작 전에 가장 크고, 시작 후에 가장 작다.",Fear is largest before you begin and smallest after.,El miedo es mayor antes de empezar y menor después.,恐惧在开始前最大，开始后最小。
18,시작과 첫걸음,Beginnings,"계획은 종이 위에서, 변화는 발밑에서 일어난다.",Plans happen on paper; change happens under your feet.,"Los planes ocurren en el papel; el cambio, bajo tus pies.",计划发生在纸上，改变发生在脚下。
19,시작과 첫걸음,Beginnings,매일 1퍼센트의 시작이 1년 뒤의 나를 바꾼다.,One percent begun each day changes who you are in a year.,Un uno por ciento cada día cambia quién eres en un año.,每天开始百分之一，一年后你将焕然一新。
20,시작과 첫걸음,Beginnings,기회는 문을 두드리지 않는다. 당신이 문을 만든다.,Opportunity does not knock; you build the door.,La oportunidad no llama; tú construyes la puerta.,机会不会敲门，门要由你亲手打造。
21,시작과 첫걸음,Beginnings,"결심은 하루면 충분하고, 시작은 지금이면 충분하다.",A decision needs a day; a start needs only now.,Una decisión necesita un día; empezar solo necesita ahora.,决心只需一天，开始只需此刻。
22,시작과 첫걸음,Beginnings,"시작이 반이라면, 나머지 반은 계속하는 것이다.","If starting is half the work, continuing is the other half.","Si empezar es la mitad, continuar es la otra mitad.",如果开始是一半，坚持就是另一半。
23,시작과 첫걸음,Beginnings,처음부터 잘하는 사람은 없다. 시작한 사람만 잘하게 된다.,No one is good at first; only those who start ever get good.,Nadie es bueno al principio; solo quien empieza llega a serlo.,没有人一开始就擅长，只有开始的人才会变得擅长。
24,시작과 첫걸음,Beginnings,오늘 하지 않을 이유는 내일도 그대로 남아 있다.,The reason not to start today will still be there tomorrow.,La excusa de hoy seguirá ahí mañana.,今天不做的理由，明天依然存在。
25,시작과 첫걸음,Beginnings,백 번의 다짐보다 한 번의 실행이 낫다.,One action is worth a hundred resolutions.,Una acción vale más que cien promesas.,一次行动胜过一百次决心。
26,끈기와 인내,Persistence,"재능은 출발선을 정하고, 끈기는 도착선을 정한다.",Talent sets the starting line; persistence sets the finish line.,El talento marca la salida; la constancia marca la meta.,天赋决定起点，坚持决定终点。
27,끈기와 인내,Persistence,포기하지 않는 한 아직 결과는 나오지 않았다.,"As long as you do not quit, the result is not yet in.","Mientras no te rindas, el resultado aún no está decidido.",只要不放弃，结果就还没有揭晓。
28,끈기와 인내,Persistence,매일 조금씩 하는 사람을 이길 방법은 없다.,There is no way to beat someone who shows up every day.,No hay forma de vencer a quien aparece todos los días.,没有办法打败每天都坚持的人。
29,끈기와 인내,Persistence,물방울이 바위를 뚫는 것은 힘이 아니라 반복이다.,A drop pierces stone not by force but by repetition.,"La gota perfora la roca no por fuerza, sino por repetición.",水滴石穿，靠的不是力量，而是重复。
30,끈기와 인내,Persistence,가장 어두운 구간이 대개 결승선 직전이다.,The darkest stretch usually lies just before the finish.,El tramo más oscuro suele estar justo antes de la meta.,最黑暗的一段，往往就在终点之前。
31,끈기와 인내,Persistence,성장은 지루한 반복 속에 숨어 있다.,Growth hides inside boring repetition.,El crecimiento se esconde en la repetición aburrida.,成长藏在枯燥的重复之中。
32,끈기와 인내,Persistence,"천천히 가는 것을 두려워 말고, 멈추는 것을 두려워하라.",Do not fear going slowly; fear standing still.,No temas avanzar despacio; teme detenerte.,不怕走得慢，只怕停下来。
33,끈기와 인내,Persistence,버티는 것도 실력이다.,Endurance is a skill of its own.,Resistir también es una habilidad.,坚持本身就是一种能力。
34,끈기와 인내,Persistence,오래 하는 사람이 결국 잘하는 사람이 된다.,Those who last the longest end up the best.,Quien más dura termina siendo el mejor.,坚持最久的人，最终成为最优秀的人。
35,끈기와 인내,Persistence,하루의 노력은 티가 나지 않지만 일 년의 노력은 숨길 수 없다.,A day of effort is invisible; a year of it cannot be hidden.,Un día de esfuerzo no se ve; un año no se puede ocultar.,一天的努力看不见，一年的努力藏不住。
36,끈기와 인내,Persistence,대나무는 4년 동안 뿌리를 내리고 5년째에 하늘로 솟는다.,Bamboo spends years on roots before it shoots toward the sky.,El bambú pasa años echando raíces antes de crecer hacia el cielo.,竹子扎根多年，才在某一年冲天而起。
37,끈기와 인내,Persistence,중단하지 않은 노력에는 이자가 붙는다.,Effort that is never interrupted earns interest.,El esfuerzo ininterrumpido genera intereses.,不中断的努力会产生复利。
38,끈기와 인내,Persistence,끝까지 남아 있는 사람에게 기회가 온다.,Opportunity finds whoever is still standing at the end.,La oportunidad encuentra a quien sigue en pie al final.,机会属于坚持到最后的人。
39,끈기와 인내,Persistence,의욕이 사라진 날에도 움직이는 것이 프로다.,A professional moves even on days when motivation is gone.,El profesional actúa incluso cuando la motivación desaparece.,即使没有动力也照常行动，才是专业。
40,끈기와 인내,Persistence,"한 번 더 시도하는 것, 그것이 전부다.",One more attempt is the whole secret.,Un intento más: ese es todo el secreto.,再试一次，就是全部的秘诀。
41,끈기와 인내,Persistence,피로는 목표에 가까워졌다는 신호일 때가 많다.,Fatigue is often a sign that the goal is near.,El cansancio suele indicar que la meta está cerca.,疲惫，往往意味着目标已近。
42,끈기와 인내,Persistence,나무는 매일 자라지 않지만 매년 굵어진다.,"A tree does not grow daily, yet it thickens every year.","Un árbol no crece cada día, pero engrosa cada año.",树木并非每天可见地长大，却年年变粗。
43,끈기와 인내,Persistence,중요한 일일수록 지겨움을 견뎌야 한다.,"The more important the work, the more tedium it demands.","Cuanto más importante el trabajo, más tedio exige.",越重要的事，越需要忍受枯燥。
44,끈기와 인내,Persistence,성공은 갑자기 오는 것이 아니라 누적되어 드러난다.,Success does not arrive suddenly; it accumulates and then shows.,El éxito no llega de golpe; se acumula y luego se revela.,成功不是突然到来，而是积累后显现。
45,끈기와 인내,Persistence,오늘 그만두면 어제의 노력까지 사라진다.,Quit today and yesterday's effort disappears too.,"Si abandonas hoy, también desaparece el esfuerzo de ayer.",今天放弃，昨天的努力也一并消失。
46,끈기와 인내,Persistence,계속하는 힘은 재능보다 희소하다.,The ability to continue is rarer than talent.,La capacidad de continuar es más rara que el talento.,坚持的能力，比天赋更稀有。
47,끈기와 인내,Persistence,무거운 돌도 백 번 치면 쪼개진다.,Even a heavy stone splits after a hundred strikes.,Incluso una piedra pesada se parte tras cien golpes.,再重的石头，敲一百次也会裂开。
48,끈기와 인내,Persistence,목표를 향한 걸음에는 작은 걸음이란 없다.,"On the way to a goal, no step is a small step.","Camino a una meta, ningún paso es pequeño.",通往目标的路上，没有一步是小步。
49,끈기와 인내,Persistence,숨이 찰 때 비로소 근육이 자란다.,Muscle grows only when breath runs short.,El músculo crece solo cuando falta el aliento.,气喘吁吁之时，肌肉才开始生长。
50,끈기와 인내,Persistence,"하루를 이기면 한 달을 이기고, 한 달을 이기면 인생을 이긴다.","Win a day, win a month; win a month, win a life.",Gana un día y ganarás un mes; gana un mes y ganarás la vida.,赢下一天就能赢下一月，赢下一月就能赢下人生。
51,실패와 회복,Resilience,실패는 결과가 아니라 데이터다.,Failure is not a verdict; it is data.,"El fracaso no es un veredicto, es información.",失败不是判决，而是数据。
52,실패와 회복,Resilience,"넘어지는 것은 사고지만, 일어나지 않는 것은 선택이다.",Falling is an accident; staying down is a choice.,Caer es un accidente; quedarse abajo es una elección.,跌倒是意外，不起来是选择。
53,실패와 회복,Resilience,가장 값진 수업료는 실패에 지불한 돈이다.,The most valuable tuition is what you pay to failure.,La matrícula más valiosa es la que pagas al fracaso.,最有价值的学费，是为失败付出的代价。
54,실패와 회복,Resilience,같은 실수를 반복하지 않는다면 그것은 실패가 아니다.,"If you do not repeat the mistake, it was not a failure.","Si no repites el error, no fue un fracaso.",不重复同样的错误，就不算失败。
55,실패와 회복,Resilience,바닥은 무너지는 곳이 아니라 딛고 서는 곳이다.,The bottom is not where you sink but where you push off.,"El fondo no es donde te hundes, sino donde te impulsas.",谷底不是下沉之处，而是起跳之处。
56,실패와 회복,Resilience,"상처는 흉터가 되고, 흉터는 갑옷이 된다.","Wounds become scars, and scars become armor.","Las heridas se vuelven cicatrices, y las cicatrices, armadura.",伤口变成疤痕，疤痕变成铠甲。
57,실패와 회복,Resilience,한 번의 실패가 한 사람을 정의하지는 않는다.,A single failure does not define a person.,Un solo fracaso no define a una persona.,一次失败无法定义一个人。
58,실패와 회복,Resilience,무너진 뒤에 세운 것이 더 단단하다.,What you rebuild after collapse stands firmer.,Lo que reconstruyes tras el derrumbe es más firme.,倒塌之后重建的，更加坚固。
59,실패와 회복,Resilience,실패를 두려워하면 배움도 함께 잃는다.,Fear failure and you lose the lesson with it.,"Si temes al fracaso, pierdes también la lección.",害怕失败，就会连同教训一起失去。
60,실패와 회복,Resilience,가장 빠른 회복은 원인을 정직하게 보는 것이다.,The fastest recovery begins with an honest look at the cause.,La recuperación más rápida empieza mirando la causa con honestidad.,最快的恢复，始于诚实面对原因。
61,실패와 회복,Resilience,잘못된 길을 오래 걷지 않는 것도 성공이다.,Not walking a wrong road for long is also a success.,No recorrer mucho tiempo un mal camino también es un éxito.,不在错误的路上久留，也是一种成功。
62,실패와 회복,Resilience,"후회는 과거를 붙잡고, 반성은 미래를 만든다.",Regret holds the past; reflection builds the future.,El arrepentimiento retiene el pasado; la reflexión construye el futuro.,懊悔困住过去，反省创造未来。
63,실패와 회복,Resilience,시련은 사람을 시험하는 것이 아니라 드러낸다.,Hardship does not test you; it reveals you.,La adversidad no te pone a prueba; te revela.,苦难不是考验你，而是揭示你。
64,실패와 회복,Resilience,폭풍이 지나간 자리에서 뿌리는 더 깊어진다.,Roots grow deeper where the storm has passed.,Las raíces crecen más hondas donde pasó la tormenta.,风暴过后，根扎得更深。
65,실패와 회복,Resilience,다시 일어서는 속도가 그 사람의 크기다.,How fast you rise again is the measure of you.,La rapidez con que te levantas es tu verdadera medida.,重新站起的速度，决定你的高度。
66,실패와 회복,Resilience,실수를 인정하는 순간 성장은 시작된다.,Growth begins the moment you admit the mistake.,El crecimiento empieza al admitir el error.,承认错误的那一刻，成长就开始了。
67,실패와 회복,Resilience,모든 전문가는 수많은 실패의 생존자다.,Every expert is a survivor of countless failures.,Todo experto es sobreviviente de innumerables fracasos.,每一位专家，都是无数失败的幸存者。
68,실패와 회복,Resilience,안전한 길에는 배움이 적다.,Safe roads teach little.,Los caminos seguros enseñan poco.,安全的路，教给你的很少。
69,실패와 회복,Resilience,실패한 시도는 아무것도 하지 않은 날보다 값지다.,A failed attempt is worth more than a day of nothing.,Un intento fallido vale más que un día sin hacer nada.,失败的尝试，胜过什么都不做的一天。
70,실패와 회복,Resilience,무릎이 꺾여도 방향은 꺾이지 않게 하라.,"Let your knees bend, but never your direction.","Que se doblen tus rodillas, nunca tu rumbo.",膝盖可以弯，方向不能弯。
71,실패와 회복,Resilience,절망은 사실이 아니라 감정이다.,"Despair is a feeling, not a fact.","La desesperación es un sentimiento, no un hecho.",绝望是情绪，不是事实。
72,실패와 회복,Resilience,오늘의 상실이 내일의 여백이 된다.,Today's loss becomes tomorrow's open space.,La pérdida de hoy es el espacio libre de mañana.,今天的失去，成为明天的空间。
73,실패와 회복,Resilience,잃어본 사람만이 지킬 줄 안다.,Only those who have lost know how to protect.,Solo quien ha perdido sabe proteger.,失去过的人，才懂得守护。
74,실패와 회복,Resilience,끝이라고 생각한 지점이 대개 전환점이다.,The point you thought was the end is usually the turn.,El punto que creías el final suele ser el giro.,你以为的终点，往往是转折点。
75,실패와 회복,Resilience,넘어진 자리를 원망하지 말고 지도에 표시하라.,Do not curse where you fell; mark it on your map.,No maldigas dónde caíste; márcalo en tu mapa.,不要抱怨跌倒之处，把它标在地图上。
76,습관과 루틴,Habits,의지는 흔들리지만 습관은 버틴다.,Willpower wavers; habits hold.,La voluntad flaquea; los hábitos permanecen.,意志会动摇，习惯会坚守。
77,습관과 루틴,Habits,당신이 반복하는 것이 곧 당신이다.,You are what you repeat.,Eres lo que repites.,你重复做的事，就是你。
78,습관과 루틴,Habits,좋은 습관은 미래의 나에게 보내는 선물이다.,A good habit is a gift to your future self.,Un buen hábito es un regalo a tu yo futuro.,好习惯，是送给未来自己的礼物。
79,습관과 루틴,Habits,하루 10분이 10년을 바꾼다.,Ten minutes a day changes ten years.,Diez minutos al día cambian diez años.,每天十分钟，改变十年。
80,습관과 루틴,Habits,시작을 쉽게 만들면 지속은 저절로 따라온다.,Make starting easy and continuing takes care of itself.,Haz fácil el comienzo y la constancia llegará sola.,让开始变简单，坚持自然会来。
81,습관과 루틴,Habits,환경을 바꾸는 것이 결심보다 강력하다.,Changing your environment beats making a resolution.,Cambiar el entorno supera a cualquier propósito.,改变环境，比下决心更有效。
82,습관과 루틴,Habits,하루를 지배하는 사람이 인생을 지배한다.,Whoever rules the day rules the life.,Quien domina el día domina la vida.,掌控一天的人，掌控人生。
83,습관과 루틴,Habits,완벽한 하루보다 빠지지 않는 하루가 낫다.,A day not missed beats a day made perfect.,Mejor un día sin faltar que un día perfecto.,不缺席的一天，胜过完美的一天。
84,습관과 루틴,Habits,이틀 연속 거르지 않는 것이 최고의 규칙이다.,Never skip twice in a row: the best rule there is.,Nunca faltes dos veces seguidas: la mejor regla que existe.,绝不连续缺席两天，这是最好的规则。
85,습관과 루틴,Habits,아침 한 시간이 하루 전체의 방향을 정한다.,The first hour sets the direction of the whole day.,La primera hora marca el rumbo de todo el día.,清晨的一小时，决定一整天的方向。
86,습관과 루틴,Habits,작게 시작해야 오래 간다.,Start small if you want it to last.,Empieza pequeño si quieres que dure.,想要长久，就要从小处开始。
87,습관과 루틴,Habits,측정하지 않는 습관은 오래가지 않는다.,A habit you do not measure will not last.,Un hábito que no mides no perdura.,不去衡量的习惯，无法持久。
88,습관과 루틴,Habits,루틴은 창의력을 가두지 않고 보호한다.,Routine does not cage creativity; it protects it.,La rutina no encierra la creatividad; la protege.,规律不会束缚创造力，而是保护它。
89,습관과 루틴,Habits,반복은 지루하지만 결과는 지루하지 않다.,Repetition is boring; its results are not.,La repetición aburre; sus resultados no.,重复很枯燥，结果绝不枯燥。
90,습관과 루틴,Habits,나쁜 습관은 처음엔 손님이고 나중엔 주인이다.,A bad habit starts as a guest and ends as the host.,Un mal hábito empieza como invitado y acaba como dueño.,坏习惯起初是客人，最后成了主人。
91,습관과 루틴,Habits,결심은 잊혀지지만 시스템은 남는다.,Resolutions are forgotten; systems remain.,Los propósitos se olvidan; los sistemas permanecen.,决心会被遗忘，系统会留下。
92,습관과 루틴,Habits,오늘 한 선택이 내일의 기본값이 된다.,Today's choice becomes tomorrow's default.,La elección de hoy es el ajuste por defecto de mañana.,今天的选择，成为明天的默认。
93,습관과 루틴,Habits,버리는 습관 하나가 새 습관 열 개보다 낫다.,Dropping one habit beats adding ten.,Dejar un hábito vale más que sumar diez.,戒掉一个习惯，胜过增加十个。
94,습관과 루틴,Habits,하기 싫은 일을 먼저 하면 하루가 가벼워진다.,Do the thing you dread first and the day gets lighter.,Haz primero lo que temes y el día se aligera.,先做最不想做的事，一天就会轻松。
95,습관과 루틴,Habits,습관은 복리처럼 쌓인다.,Habits compound like interest.,Los hábitos se acumulan como el interés compuesto.,习惯如复利般累积。
96,습관과 루틴,Habits,"같은 시간, 같은 자리, 같은 일이 실력을 만든다.","Same time, same place, same work: that is mastery.","Misma hora, mismo lugar, mismo trabajo: eso es maestría.",同样的时间、地点、事情，成就精通。
97,습관과 루틴,Habits,의욕을 기다리지 말고 일정을 지켜라.,Do not wait for motivation; keep the schedule.,No esperes la motivación; cumple el horario.,不要等待动力，遵守日程即可。
98,습관과 루틴,Habits,하루의 마무리가 다음 날의 출발이다.,How you end a day is how you start the next.,Cómo terminas el día es cómo empiezas el siguiente.,一天的结束，就是次日的开始。
99,습관과 루틴,Habits,작은 규칙 하나가 무너지면 큰 계획도 무너진다.,Break one small rule and the big plan breaks too.,Rompe una regla pequeña y el gran plan se rompe.,一条小规则崩塌，大计划也随之崩塌。
100,습관과 루틴,Habits,좋은 습관은 자유를 빼앗지 않고 만들어 준다.,Good habits do not take freedom; they create it.,Los buenos hábitos no quitan libertad; la crean.,好习惯不夺走自由，而是创造自由。
101,시간과 우선순위,Time,시간은 관리되는 것이 아니라 선택되는 것이다.,Time is not managed; it is chosen.,El tiempo no se gestiona; se elige.,时间不是被管理的，而是被选择的。
102,시간과 우선순위,Time,바쁘다는 말은 우선순위가 없다는 말이다.,Saying you are busy often means you have no priorities.,Decir que estás ocupado suele significar que no tienes prioridades.,说自己忙，往往意味着没有优先级。
103,시간과 우선순위,Time,무엇을 하지 않을지 정하는 것이 전략이다.,Deciding what not to do is strategy.,Decidir qué no hacer es la estrategia.,决定不做什么，才是策略。
104,시간과 우선순위,Time,하루는 모두에게 같지만 밀도는 각자 다르다.,Everyone gets the same day; not everyone fills it the same.,Todos tienen el mismo día; no todos lo llenan igual.,每个人的一天相同，密度却各不相同。
105,시간과 우선순위,Time,급한 일이 중요한 일을 밀어내게 두지 마라.,Never let the urgent push out the important.,Nunca dejes que lo urgente desplace a lo importante.,不要让紧急的事挤掉重要的事。
106,시간과 우선순위,Time,시간을 쓰는 방식이 곧 가치관이다.,How you spend your hours is what you truly value.,Cómo gastas tus horas revela lo que valoras.,你如何花时间，就是你的价值观。
107,시간과 우선순위,Time,잃어버린 시간만은 되살 수 없다.,Time is the only thing you cannot buy back.,El tiempo es lo único que no puedes recuperar.,唯有时间买不回来。
108,시간과 우선순위,Time,모든 것에 예라고 답하면 결국 아무것도 못 한다.,Say yes to everything and you finish nothing.,Di sí a todo y no terminarás nada.,对一切说好，最终一事无成。
109,시간과 우선순위,Time,거절은 시간을 지키는 가장 정직한 방법이다.,Saying no is the most honest way to protect your time.,Decir que no es la forma más honesta de proteger tu tiempo.,拒绝，是守护时间最诚实的方式。
110,시간과 우선순위,Time,내일의 나는 오늘의 나보다 한가하지 않다.,Tomorrow's you will not be freer than today's.,El tú de mañana no estará más libre que el de hoy.,明天的你，不会比今天更空闲。
111,시간과 우선순위,Time,한 번에 하나씩이 가장 빠른 길이다.,One thing at a time is the fastest route.,Una cosa a la vez es el camino más rápido.,一次做一件事，才是最快的路。
112,시간과 우선순위,Time,중요한 일에는 가장 좋은 시간을 배정하라.,Give your best hours to your most important work.,Dedica tus mejores horas a lo más importante.,把最好的时间留给最重要的事。
113,시간과 우선순위,Time,시간이 없는 게 아니라 순서가 없는 것이다.,You do not lack time; you lack order.,No te falta tiempo; te falta orden.,不是没有时间，而是没有顺序。
114,시간과 우선순위,Time,일정을 정하지 않으면 남이 정해 준다.,"If you do not schedule your day, someone else will.","Si no planificas tu día, alguien lo hará por ti.",你不安排你的时间，别人就会替你安排。
115,시간과 우선순위,Time,미루기는 시간을 아끼는 게 아니라 이자를 붙인다.,Procrastination does not save time; it charges interest.,Procrastinar no ahorra tiempo; cobra intereses.,拖延不省时间，只会收取利息。
116,시간과 우선순위,Time,짧은 시간에 집중하는 편이 긴 시간을 흘려보내는 것보다 낫다.,A short focused hour beats a long distracted day.,Una hora concentrada vale más que un día disperso.,专注的一小时，胜过分心的一整天。
117,시간과 우선순위,Time,계획은 시간을 늘려 주지 않지만 낭비를 줄여 준다.,Planning does not add hours; it removes waste.,Planificar no añade horas; elimina desperdicio.,计划不会增加时间，但能减少浪费。
118,시간과 우선순위,Time,오늘 저녁의 30분이 내일 아침의 두 시간을 벌어 준다.,Thirty minutes tonight buys two hours tomorrow.,Treinta minutos esta noche compran dos horas mañana.,今晚的三十分钟，换来明早的两小时。
119,시간과 우선순위,Time,마감은 적이 아니라 가장 성실한 동료다.,A deadline is not an enemy but your most reliable colleague.,"Una fecha límite no es enemiga, sino tu colega más fiel.",截止日期不是敌人，而是最忠实的同事。
120,시간과 우선순위,Time,시간을 벌고 싶다면 먼저 정리하라.,"If you want more time, start by clearing space.","Si quieres más tiempo, empieza por ordenar.",想要更多时间，先从整理开始。
121,시간과 우선순위,Time,하루를 잘게 쪼개면 인생이 넓어진다.,Divide the day well and life widens.,Divide bien el día y la vida se ensancha.,把一天分好，人生就会变宽。
122,시간과 우선순위,Time,기다리는 시간도 당신의 시간이다.,Time spent waiting is still your time.,El tiempo de espera también es tu tiempo.,等待的时间，也是你的时间。
123,시간과 우선순위,Time,바쁨은 성취가 아니다.,Being busy is not the same as achieving.,Estar ocupado no es lo mismo que lograr.,忙碌不等于成就。
124,시간과 우선순위,Time,일주일을 설계하면 한 해가 달라진다.,Design your week and your year changes.,Diseña tu semana y cambiará tu año.,设计好一周，一年就不同。
125,시간과 우선순위,Time,가장 값비싼 낭비는 무엇을 할지 고민하는 시간이다.,The costliest waste is time spent deciding what to do.,El desperdicio más caro es dudar sobre qué hacer.,最昂贵的浪费，是纠结该做什么。
126,자기 믿음,Self-Belief,스스로를 믿지 않으면 누구도 대신 믿어 주지 않는다.,"If you do not believe in yourself, no one will do it for you.","Si no crees en ti, nadie lo hará por ti.",如果你不相信自己，没有人会替你相信。
127,자기 믿음,Self-Belief,남의 기준으로 살면 남의 인생을 사는 것이다.,Live by another's standard and you live another's life.,Vivir según el criterio ajeno es vivir la vida de otro.,按别人的标准活，就是过别人的人生。
128,자기 믿음,Self-Belief,자신에게 하는 말이 가장 오래 남는 말이다.,What you say to yourself lasts longest.,Lo que te dices a ti mismo es lo que más perdura.,你对自己说的话，留存最久。
129,자기 믿음,Self-Belief,당신의 가치는 남의 평가로 정해지지 않는다.,Your worth is not set by anyone's opinion.,Tu valor no lo define la opinión de nadie.,你的价值，不由他人的评价决定。
130,자기 믿음,Self-Belief,자신감은 성공의 결과가 아니라 시도의 결과다.,"Confidence comes from attempting, not from succeeding.","La confianza nace de intentar, no de triunfar.",自信来自尝试，而非成功。
131,자기 믿음,Self-Belief,비교는 성장을 멈추게 하는 가장 조용한 방법이다.,Comparison is the quietest way to stop growing.,Compararse es la forma más silenciosa de dejar de crecer.,比较，是停止成长最安静的方式。
132,자기 믿음,Self-Belief,당신이 스스로 정한 한계가 대부분의 한계다.,Most of your limits are the ones you set yourself.,La mayoría de tus límites los pones tú.,你的多数极限，是自己设定的。
133,자기 믿음,Self-Belief,자기 자신과의 약속을 지키는 사람이 강해진다.,Strength comes from keeping promises to yourself.,La fuerza viene de cumplir las promesas que te haces.,信守对自己的承诺，才会变强。
134,자기 믿음,Self-Belief,목소리를 낮추지 마라. 당신의 이야기는 들릴 가치가 있다.,Do not lower your voice; your story deserves to be heard.,No bajes la voz; tu historia merece ser escuchada.,不要压低声音，你的故事值得被听见。
135,자기 믿음,Self-Belief,남과 다른 것이 곧 부족한 것은 아니다.,Being different is not the same as being less.,Ser diferente no es ser menos.,与众不同，并不意味着不够好。
136,자기 믿음,Self-Belief,누구도 당신만큼 당신의 가능성을 알지 못한다.,No one knows your potential the way you do.,Nadie conoce tu potencial como tú.,没有人比你更了解你的可能性。
137,자기 믿음,Self-Belief,자신을 돌보는 일은 이기심이 아니라 책임이다.,"Caring for yourself is responsibility, not selfishness.","Cuidarte no es egoísmo, es responsabilidad.",照顾自己不是自私，而是责任。
138,자기 믿음,Self-Belief,부족함을 인정하는 것도 자신감의 일부다.,Admitting what you lack is part of confidence.,Reconocer lo que te falta también es confianza.,承认不足，也是自信的一部分。
139,자기 믿음,Self-Belief,당신은 이미 예전의 당신이 부러워하던 사람이다.,You are already someone your past self hoped to become.,Ya eres alguien que tu yo del pasado deseaba ser.,你已经成为过去的自己所羡慕的人。
140,자기 믿음,Self-Belief,칭찬은 사양해도 성취는 사양하지 마라.,"Decline the praise if you must, but never the achievement.","Rechaza el elogio si quieres, nunca el logro.",可以谦让赞美，但别谦让成就。
141,자기 믿음,Self-Belief,자기 확신은 소음 속에서 방향을 지키는 힘이다.,Self-trust is what holds your direction amid noise.,La confianza en uno mismo mantiene el rumbo entre el ruido.,自我确信，是在喧嚣中守住方向的力量。
142,자기 믿음,Self-Belief,스스로에게 가혹한 사람이 가장 늦게 성장한다.,Those hardest on themselves grow the slowest.,Quien más duro es consigo mismo crece más lento.,对自己最苛刻的人，成长最慢。
143,자기 믿음,Self-Belief,당신의 속도가 곧 당신의 길이다.,Your pace is your path.,Tu ritmo es tu camino.,你的速度，就是你的路。
144,자기 믿음,Self-Belief,의심이 들 때는 지나온 길을 돌아보라.,"When doubt comes, look back at how far you came.","Cuando dudes, mira cuánto has avanzado.",怀疑时，回头看看走过的路。
145,자기 믿음,Self-Belief,완벽하지 않아도 시작할 자격은 충분하다.,You need not be perfect to be qualified to begin.,No necesitas ser perfecto para empezar.,不必完美，也完全有资格开始。
